otel_adi,yorum,yorum_basligi,puan,yorum_tarihi,konum,konaklama_tarihi,seyahat_turu,value_rating,rooms_rating,location_rating,cleanliness_rating,service_rating,musteri_toplam_yorum_sayisi
Green Bay Resort & Spa,"Tesis fiyat performans oteli olduğu için büyük beklentiler içinde gitmedik fakat odalar ve yataklar eski kesinlikle yenilenmeli, oda temizliği çok iyi değil,yemek çeşidi çok fakat lezzet maalesef yok, Adult bardaki Yunus ve İbrahim’e Lobby bardaki Seda’ya ETS tur Şükran ve İbrahim’e ilgi ve alakalarından dolayı teşekkür ederiz.",Ortalama,3,"VOLKAN T, 24 Ağu yorumunu yazdı","Tekirdağ, Türkiye",Ağustos 2026,Aileyle seyahat etti,,,,,,16 katkı
Green Bay Resort & Spa,"Green Bay Resort – 4 Günlük Tatil Deneyimimiz Otele ilk girişimiz oldukça olumluydu. Odamız 10-15 dakika içerisinde hazırlandı, bizi karşılayan personeller güler yüzlü ve ilgiliydi. Otelin koyda tek otel olması da gerçekten büyük bir avantaj. Manzarası güzel, konumu keyifli. Havuz ve deniz kısmında 4 gün boyunca şezlong sıkıntısı yaşamadık. Ayrıca ormanlık bir alanda olmasına rağmen sinek, böcek veya rahatsız edici bir koku problemi de yaşamadık. Ancak olumlu tarafları bir kenara bırakırsak, 5 yıldızlı bir otelden beklediğimiz hizmet kalitesinin oldukça gerisinde kaldığımız birçok nokta oldu. Öncelikle yemekler ciddi anlamda yetersizdi. 4 gün boyunca özellikle ızgara bölümünde neredeyse sürekli aynı yemeklerin çıkması, yemek ve tatlı çeşitlerinin az olması ve menülerin her gün birbirini tekrar etmesi 5 yıldızlı bir otel için kabul edilebilir seviyede değildi. Akşam yemeklerinde masa bulmak da ayrıca ciddi bir problemdi. Şezlong konusunda rahatken yemek saatinde masa bulmak için uğraşmak zorunda kaldık. Oda temizliği ise bizim için en büyük hayal kırıklıklarından biriydi. Odamız iki gün temizlenmesine rağmen çarşaflarda kumlarla uyuduk. Temizlik yapılmış gibi görünmesine rağmen detaylı bir temizlik hissi kesinlikle oluşmadı. Mobilyaların ve bazı yüzeylerin üzerinde de belirgin şekilde yapışkan bir tabaka vardı. 5 yıldızlı bir otelde oda temizliği konusunda bu kadar özensiz bir görüntü beklemiyorduk. Deniz konusunda da beklentimizi karşılamadı. Bodrum denizinin o meşhur berraklığını ve temiz görüntüsünü burada göremedik. Konumu ve manzarası çok güzel olmasına rağmen denizin suyu bulanık görünüyordu ve bu açıdan Bodrum'da alışık olduğumuz deniz deneyimini yaşayamadık. Etkinlikler de oldukça zayıftı. 4 gün gibi kısa bir konaklamada bile otelde yapılacak aktivitelerin yetersiz olduğunu ve zaman geçtikçe sıkıldığımızı hissettik. Özellikle çocuklu aileler açısından bu konuda otelin kendini ciddi şekilde geliştirmesi gerektiğini düşünüyorum. Aqua bölümü ise çocuklu aileler için başlı başına problem. Normal kaydırakların bulunduğu bölümde 120 cm boy sınırı olduğunu sonradan öğrendik. En büyük sorun ise bu önemli bilginin rezervasyon yaptığımız tur sayfalarında veya otelin kendi sayfalarında yeterince açık şekilde belirtilmemesiydi. 116 cm boyundaki çocuğumu ancak bir belge imzalayarak kaydıraklara sokabildim. Üstelik her gün farklı cankurtaran olduğu için her gün yeniden boy ölçümü yapılması ve her seferinde “biz izinliyiz” açıklaması yapmak zorunda kalmamız oldukça yorucuydu. Bir gün imzalanan belgenin ve verilen iznin ertesi gün hiçbir anlam ifade etmemesi, çocuklu aileler açısından ciddi bir iletişim ve organizasyon problemi. Her yıl 5 yıldızlı otellerde tatil yapan biri olarak açıkça söyleyebilirim ki Green Bay'de 5 yıldız standardını birçok konuda göremedim. Konum, manzara, koy ve güler yüzlü personel güzel; ancak yemek, temizlik, etkinlik, deniz ve özellikle çocukların kullanacağı aqua alanındaki uygulamalar konusunda otelin ciddi eksikleri var. Özellikle çocuklu ailelere rezervasyon öncesinde aqua boy sınırını mutlaka sormalarını, yemek ve oda temizliği konusunda da beklentilerini çok yüksek tutmamalarını öneririm. Benim için güzel manzarası ve konumuna rağmen “5 yıldızlı tatil” beklentisini karşılamayan bir deneyim oldu.",4 günlük deneyim,2,"Cansel K, 8 Ağu yorumunu yazdı",,Ağustos 2026,Aileyle seyahat etti,,,,,,1 katkı
Green Bay Resort & Spa,"Olumsuzluklar: 1-Fitness altleri bozuk, çalışmıyor ve bakımsız.. 2-Yemekler hep aynı.Yaraticilik yok 3- Özellikle akşam yemeğinde ""Sona kalan dona kalir' anlayışı hakim. Olumlular 1- Personel özverili ve istekli 2- Temizlik iyi.",Bir haftalık tatil,3,"Kaan U, 7 Ağu yorumunu yazdı","İzmir, Türkiye",Temmuz 2026,Aileyle seyahat etti,,,,,,87 katkı
Green Bay Resort & Spa,"Otele 27 Temmuz - 2 Ağustos tarihleri arasında ailemle birlikte konakladık. Öncelikle odalar oldukça eskiydi. En büyük hayal kırıklığımız ise yataklar oldu. Dinlenmek ve rahatlamak için geldiğimiz tatilde neredeyse her sabah bel ve sırt ağrısıyla uyandık. Yemekler genel olarak fena değildi. Ancak personel sayısı yetersizdi. Özellikle yoğun saatlerde çatal, bıçak ve diğer servis malzemelerini çoğu zaman kendimiz almak zorunda kaldık. Bu konuda çalışanları değil, yönetimi sorumlu görüyorum. Oda temizliği ise maalesef beklentimizin çok altındaydı. İlk gün odadaki telefon çalışmıyordu. Resepsiyona toplam 4-5 kez bildirmemize rağmen tatilimiz boyunca sorun giderilmedi. Temizlik görevlileri yalnızca yatağı topluyor, havluları değiştiriyor ve çıkıyordu. Yerler, komidin üstü yeterince temizlenmiyordu. Hatta tavanda ezilmiş birkaç sinek vardı ve konaklamamız boyunca olduğu gibi kaldı. Banyodan sürekli pis gider kokusu geliyordu ve bu koku zaman zaman odanın içine kadar yayılıyordu. Hijyen konusunda otelin çok daha dikkatli olması gerektiğini düşünüyorum. Odadaki klima da oldukça eskiydi. Ev tipi bir klima vardı ve termostat yoktu veya çalışmıyordu. Gece klimayı açıyoruz, üşüyünce birimiz kalkıp kapatıyor, biraz sonra sıcak olunca tekrar kalkıp açıyorduk. Tatilde sürekli bununla uğraşmak zorunda kaldık. Mini bar da yetersizdi. Çoğu gün tam olarak doldurulmuyordu. Hatta otelden ayrılacağımızı bildikleri son gece mini bar hiç doldurulmamıştı. Misafir ertesi gün çıkış yapacak diye bu hizmetin verilmemesi hiç hoş bir yaklaşım değildi. Benim konakladığım tarihlerde sivrisinek sorunu yaşamadım. Bu konuda herhangi bir olumsuzlukla karşılaşmadık. Deniz ise otelin en güzel yanıydı. Koy gerçekten harika. Deniz sığdan itibaren küçük çakıl taşlı ve kumlu bir yapıya sahipti. En beğendiğimiz özelliklerinden biri neredeyse hiç dalga olmamasıydı. Konakladığımız süre boyunca denizi hep sakindi. Ancak deniz bir anda derinleşiyor. Özellikle yüzme bilmeyenler ve küçük çocuklu ailelerin bu konuda dikkatli olması gerekiyor. Ayrıca bazen küçük balıklar ayakları ısırıyor. Aquapark oldukça küçük. Çocuklar için yeterli olsa da yetişkinler için pek uygun değil. Havuzun derinliği yaklaşık 140 cm olduğu için büyük kaydıraklardan kayan yetişkinler tabana çarpabiliyor. Büyük havuz sadece 16 yaş ve üzeri misafirlere ayrılmış. Gün içindeki animasyonlar, su oyunları ve etkinliklerin tamamı burada yapılıyor. Eğer bizim gibi küçük çocuğunuz varsa mecburen aquapark tarafındaki havuzu kullanıyorsunuz. Ancak bu tarafta neredeyse hiçbir etkinlik yapılmıyor. Dolayısıyla çocuklu aileler otelin aktivitelerinden tam anlamıyla faydalanamıyor. Akşam çocuk animasyonları da oldukça zayıftı. Genellikle sadece kız çocukları sahneye çıkıp animasyon ekibindeki birkaç kişiyle dans ediyordu. Erkek çocukları ise çoğu zaman oturup izlemekle yetiniyordu. Buna karşılık hemen hemen her akşam canlı müzik vardı. Olumlu taraflarından biri ise şezlong sıkıntısı yaşamamamızdı. Günün her saatinde boş şezlong bulabildik. Yemek sırasında uzun kuyruklar oluşmuyordu ve hizmet genel olarak aksamadan devam ediyordu. Sonuç olarak ben bu oteli tamamen fotoğraflarına güvenerek tercih ettim ancak büyük bir hayal kırıklığı yaşadım. Aynı bütçeyle çok daha kaliteli otellerde konaklanabileceğini düşünüyorum. Benim için tekrar tercih edilecek bir otel olmadı.",Beklentinizi cok yüksek tutmayın.,2,"Faruk Çatalcam, 2 Ağu yorumunu yazdı",,Temmuz 2026,Aileyle seyahat etti,,,,,,12 katkı
Green Bay Resort & Spa,"Hotel normal kalıtede ,samımı...ve en guzel denız hemen yanı olması Yemekler gayet ıyı,tatlilar muazam Odalar temız,kucuk,banyıolar cok Kucuk Anımasyıon ekibi hepsi cok cok ılgılıler(Esma ve Mehmet cok taylılar)",Aile olan bır hotel tavsyı ederım,5,Tem 2026,,Temmuz 2026,Aileyle seyahat etti,,,,,,3 katkı
Green Bay Resort & Spa,Otelin personeli ilgili calısanlar guler yüzlü yemekler ortalama ama yeterli denizi güzel aksam eglencesi keyifliydi memnun kaldık,Ideal tatil,4,Tem 2026,,Temmuz 2026,Aileyle seyahat etti,,,,,,2 katkı
Green Bay Resort & Spa,Oteliniz çok iyi yemek olsun odalarınız olsun çalışanlarınız olsun heleki sahildeki Nurettin tiryaki adlı cankurtaranın ilgi alakası profesyonel çalışma uslubü harikaydı birdahaki sezon geldiğimde onu orda görmek çok isterim,Harika ötesi,5,Tem 2026,,Temmuz 2026,Aileyle seyahat etti,,,,,,1 katkı
Green Bay Resort & Spa,Tesise dün giriş yaptık.Yorumlara bakarak tercih ettiğimiz bu tesis tam bir hayal kırıklığı.Otelde hijjen sıfır.Odalar çok üzülerek söylüyorum ama pislikten içiniz almıyor.Tesiste güzel olan tek şey sahil oda doğal güzellik zaten.Çalışanların geneli çok isteksiz.Kesinlikle ama kesinlikle tavsiye etmiyorum.,Green Bay Resort Hayal Kırıklığı,1,Tem 2026,"Antalya, Türkiye",Temmuz 2026,Aileyle seyahat etti,,,,,,14 katkı
Green Bay Resort & Spa,"Otel konum olarak çok güzel, odaları iyiydi.Çalışan arkadaşlar güler yüzlü ve yapıcıydı,snack barda çalışan Ercan beye çok teşekkür ediyorum müşterilere ilgi alakasından dolayı.",Başarılı,5,Tem 2026,,Temmuz 2026,Aileyle seyahat etti,,,,,,1 katkı
Green Bay Resort & Spa,"BU OTELDE CİDDİ HİJYEN PROBLEMLERİ VAR VE LÜTFEN BURAYA GİDECEKLER DİKKAT ETSİN. ASLA TAVSİYE ETMİYORUM. Öncelikle otelde çok ciddi problemler var. Hijyen en başta geliyor her taraf ama her taraf kara sinek, sivrisinek. Bunu çalışanlar bile kabul ediyor. Otele girdiğiniz anda zaten pansiyon gibi bir otele geldiğinizi anlıyorsunuz. Ciddi anlamda kirlilik var. Çalışanlara bunu söylediğimizde açıkça kabul ediyorlar. Yemeklerin üzerinde sinekler geziyor sizi lobide otururken bile bakın lobide sivrisinekler ısırıyor. Denizi inanılmaz kirli ve bulanık. Sakın fotoğraflara kanmayın. Biz bu otele gittik iki aile olarak Tekirdağ’dan geldik ve giriş yaptık. Öncelikle gezerken ilk fark ettiğimiz çok kötü hijyen problemleri var. Bardaklar kirli mesela. Bira söylediğimizde bardağa yapışmış baloncuklar bile görüyorsunuz kirli olduğunu burada anlayabilirsiniz. Denizi gördüğümüzde cankurtarana sorduk burası sence kirli mi dedik, direk çekinmeden evet bu deniz kirli dedi. Çok fazla bulanık Çamur içinde. Yakınlarına balık Çiftliği olduğu Söyleniyor. Biz de Odamıza giriş yapmadan Otelden ayrılmak istediğimizi söyledik ve bir gece kesinti yaparak paramızı iade edeceklerini söylediler. Beş gün sonra paramızı, Günlük ücretin çok çok üzerinde olarak yaklaşık 20.000 TL keserek iade ettiler. Bu yüzden hakkimizi arayacağız. Lütfen ama lütfen bu oteli seçecek kişiler dikkat etsin. Ciddi anlamda Yazık sağlığınıza yazık. Otelin içinden yemek bölümüne geçerken kanalizasyon kokuyor. Bildiğiniz Eminönü pasajı gibi Düzensiz ve kötü görüntüleri var. Buraya beş yıldızlı otel asla diyemezsiniz bildiğiniz pansiyon burası. 15 dakika durduk ve öğlen yemeğinde mesela tavuk döner vardı. Yemekler hem kötü hem lezzetsiz Hem de üstüne hijyenik değil. O kadar parayı tavuk Döner yemek için mi verecek insanlar, Bunun seçimini siz yapın. Oteldeki görevlilere çok fazla sinek olduğunu söylediğimizde; Evet bu Biliyoruz çözdük sayılır diyorlar:)","BERBAT BİR OTEL, SİNEKLER İÇİNDE, HİJYENİK OLMAYAN PANSİYON",1,Tem 2026,Türkiye,Temmuz 2026,Aileyle seyahat etti,,,,,,13 katkı
